x,y,z,label
12,16,3.88,CdS
13,15,4.91,AlN
13,15,6.16,AlN
13,15,8.35,BN
-,-,-,-
11,17,0.39,AgBr
12,16,0.45,CdSe
11,17,0.65,AgCl
11,17,0.69,CuCl
12,16,0.81,ZnO
12,16,0.88,CdS
12,16,0.99,CdS
12,16,1.06,ZnTe
12,16,1.19,ZnO
12,16,1.28,ZnSe
11,17,1.3,CuI
12,16,1.3,ZnSe
12,16,2.2,ZnS
-,-,-,-
14,16,0.13,PbSe
13,15,0.53,GaSb
13,15,0.59,InP
14,16,0.62,PbTe
13,15,1.14,BAs
13,15,1.17,AlSb
13,15,1.2,BP
13,15,1.44,GaP
13,15,1.52,BN
14,14,2.11,SiC
13,15,2.32,GaN
-,-,-,-
2,16,1.7,MgSe
2,16,1.73,BeTe
2,16,1.97,CaS
2,16,2.14,SrS
2,16,2.4,BeSe
2,16,2.64,MgS
2,16,2.79,BeS
1,17,4.02,NaBr
1,17,4.26,KBr
1,17,5.06,NaCl
2,16,5.27,MgO
1,17,6.48,LiCl
1,17,6.67,NaF
1,17,9.74,LiF
-,-,-,-
